34,42,268,291
190,191,1,247
270,294,25,26
85,233,165,167
269,291,65,69
201,216,3,129
9,11,203,204
268,285,130,149
268,286,269,290
64,239,196,197
58,237,207,210
268,281,85,88
267,273,23,231
38,41,276,278
165,167,88,235
89,93,60,238
133,162,266,273
66,190,270,296
182,190,1,247
221,224,23,231
3,129,270,295
31,266,1,3
276,278,105,108
116,142,109,263
268,286,122,124
113,163,2,3
199,217,217,218
266,273,137,139
206,210,132,140
98,99,268,282
210,216,64,241
64,239,88,235
122,123,266,271
118,264,46,47
57,190,109,263
125,126,65,69
64,241,41,61
268,280,7,12
22,23,141,144
38,256,274,276
105,111,33,255
269,288,177,188
268,286,38,256
105,106,112,150
97,100,213,215
96,138,269,288
108,112,173,242
43,257,37,42
