29,38,17,18,21,22
19,33,28,29,2,3
10,32,16,19,25,26
19,20,6,11,16,19
16,19,16,17,3,18
19,33,16,17,17,27
23,36,16,17,19,20
16,17,19,20,2,3
22,23,26,27,16,21
10,13,29,38,20,34
10,32,16,19,16,17
16,19,19,20,2,25
19,33,2,25,12,13
22,35,5,6,6,11
12,13,15,16,29,38
12,13,10,32,8,9
17,18,8,9,3,18
2,3,19,20,26,27
22,23,10,32,11,12
3,4,19,20,19,33
19,33,25,26,13,14
10,32,3,18,16,19
26,27,26,29,19,33
16,24,2,30,16,21
10,32,8,9,1,39
12,13,6,11,29,38
6,7,25,37,4,14
22,23,16,19,6,11
25,37,28,29,3,4
19,20,6,31,1,2
25,37,5,8,7,8
29,38,23,36,8,9
2,30,19,20,22,23
1,39,20,34,2,25
23,24,22,23,10,11
19,20,5,8,6,31
3,18,21,22,29,38
5,8,22,35,9,39
25,37,23,36,11,12
19,33,12,13,2,25
6,7,19,33,14,15
8,9,14,15,25,37
17,27,23,36,11,12
8,9,19,33,7,8
19,20,22,23,17,18
1,2,19,20,7,8
6,11,4,14,29,38
7,8,23,36,29,38
2,3,19,20,1,39
26,27,2,30,6,31
10,32,13,14,2,3
16,19,22,35,10,13
21,22,3,4,23,24
29,38,11,12,6,11
1,2,3,4,10,32
12,13,19,20,21,22
10,13,22,35,1,2
19,20,6,7,4,5
23,24,6,11,19,33
10,32,10,13,16,17
10,32,29,38,14,15
