197,199,64,65,58,59
266,270,47,48,54,123
88,235,270,294,185,186
268,284,64,241,29,63
268,291,18,72,70,71
272,298,190,191,20,23
273,299,60,238,105,136
99,244,51,53,74,76
270,292,31,74,118,151
273,299,144,145,18,72
268,291,117,167,33,36
81,89,266,270,136,138
196,198,120,125,270,292
34,42,113,163,192,193
49,259,224,225,270,294
111,149,99,244,28,36
274,276,171,204,66,190
144,145,172,175,61,66
169,208,90,91,33,255
59,262,274,275,112,116
109,263,65,69,13,19
1,247,90,91,134,140
83,85,157,159,38,256
228,229,122,124,168,189
122,128,53,54,17,252
3,4,113,163,137,138
274,275,131,132,174,198
116,142,40,68,269,288
267,277,79,84,177,188
163,164,270,293,3,4
37,42,79,84,268,285
207,208,114,115,88,235
166,167,114,115,141,143
81,90,274,276,169,210
29,64,39,40,267,277
141,143,115,131,177,188
96,138,193,221,17,252
185,187,37,42,48,258
80,83,53,260,22,253
102,103,112,116,294,300
99,245,88,235,64,65
27,35,221,226,270,293
65,66,270,296,7,110
12,251,38,41,61,66
79,82,124,128,31,266
224,226,71,234,98,99
134,135,225,226,269,291
270,294,203,205,193,194
105,148,267,273,31,32
22,253,154,158,154,155
168,189,203,205,99,244
227,228,268,281,157,158
133,162,134,135,122,127
268,280,210,211,59,262
101,102,54,56,273,299
50,51,211,212,29,30
